ID	max_iters	hash
00063d88244921d6ec46aeab6866a8e2	6	0fd0bd0dcd32560e
00063d88244921d6ec46aeab6866a8e2	20	6fb217d43cc2edd2
00072cf107ae1349c8c59a15c5ce4af1	6	8e2a32170baf37bc
00072cf107ae1349c8c59a15c5ce4af1	20	e9f4608a100246c6
00076733bdbce94d7e44eca84f1425f0	6	NA
00076733bdbce94d7e44eca84f1425f0	20	NA
000781b7a545fe723159e53127aff659	6	NA
000781b7a545fe723159e53127aff659	20	NA
000a41cdca43be89ed62ea3abf2d0b64	6	NA
000a41cdca43be89ed62ea3abf2d0b64	20	NA
000e4e0db67e27083649c20a2a3f761b	6	NA
000e4e0db67e27083649c20a2a3f761b	20	NA
00107d84f57e2371476a7b2cabe0b351	6	75e0d869cf14ff52
00107d84f57e2371476a7b2cabe0b351	20	NA
001304ba2e4e8adbd179aa3d8acb697b	6	9a3265e51dde36bb
001304ba2e4e8adbd179aa3d8acb697b	20	c7a2621bf98fe149
001344c9b3cb1626af1c7c35155cf26a	6	NA
001344c9b3cb1626af1c7c35155cf26a	20	NA
0020aa0c69379226948904ad455b6c09	6	5e2d0c501dd04d62
0020aa0c69379226948904ad455b6c09	20	5e2d0c501dd04d62
00213e27dabcf679205144f3dde5d37e	6	4d84378c751429c8
00213e27dabcf679205144f3dde5d37e	20	4d84378c751429c8
0022f125b13bd7ccc91e793431c67a52	6	NA
0022f125b13bd7ccc91e793431c67a52	20	NA
0025a06f00f6e467f7cf4ef9e649b2a7	6	401ed3a1f02cee5b
0025a06f00f6e467f7cf4ef9e649b2a7	20	NA
00260e67c792062bc3e10e6b94522101	6	NA
00260e67c792062bc3e10e6b94522101	20	NA
0026aaf8bbf2df73cb5db34a7b7a7a04	6	NA
0026aaf8bbf2df73cb5db34a7b7a7a04	20	NA
00274d0721d26f867b2573377712cac9	6	NA
00274d0721d26f867b2573377712cac9	20	NA
00275f3018d50ba38867268739dfc44f	6	0320587385cbf908
00275f3018d50ba38867268739dfc44f	20	20ac1d366b6fc756
002a0330958a14deb23dcc84b5489e8a	6	NA
002a0330958a14deb23dcc84b5489e8a	20	NA
002bed2572e6e326815e674f288de8b4	6	8ebb29acc44a13b5
002bed2572e6e326815e674f288de8b4	20	3bbb81b47cb24514
003154fc91d34d29ec5cf93b0bc32143	6	NA
003154fc91d34d29ec5cf93b0bc32143	20	NA
00316e383123773ae35d3210f5396205	6	f425ea793d6637a9
00316e383123773ae35d3210f5396205	20	84d93c255093aa2d
0033baadbd48d3f880e9b5a733bd4950	6	b8a8a6c676d0a5f8
0033baadbd48d3f880e9b5a733bd4950	20	07633306b0761c0e
0035666407d4ccb5082630045d60a5fe	6	07dfe699ec34afd7
0035666407d4ccb5082630045d60a5fe	20	381dce32583fe49a
0038cea06eae4c3234b7bb65d9a8497c	6	78eae2020bf626c2
0038cea06eae4c3234b7bb65d9a8497c	20	78eae2020bf626c2
003a77d2aa15a5f93aa2cfe79b986c9e	6	808d161d4a1a6f54
003a77d2aa15a5f93aa2cfe79b986c9e	20	e17c13a3352b3755
003de2086be59a5fb7a7aaad0992cf47	6	1d7b511f9fd29a56
003de2086be59a5fb7a7aaad0992cf47	20	a7e9838cdb4ec06b
003deabca05a76f3ee449221a80d8b62	6	NA
003deabca05a76f3ee449221a80d8b62	20	NA
0041051c73dcdd885d412a38e8b09fba	6	15c30d61964f7bda
0041051c73dcdd885d412a38e8b09fba	20	1fb719ba91b4f519
0041f01bcd7d0d1f9541cea6da79ad57	6	131da7759b8ea194
0041f01bcd7d0d1f9541cea6da79ad57	20	6ab80c455aa71640
0042a627dfba7daa62d6ce175540c8a2	6	e5282cd90d21cf21
0042a627dfba7daa62d6ce175540c8a2	20	7e5fde83fb3de8ab
0043cfdde474fa37dfeb5ce5952d22f6	6	7077bde3b9587881
0043cfdde474fa37dfeb5ce5952d22f6	20	ae5560bc650e16f9
0049919cdf9556bfda5bb365af72414c	6	NA
0049919cdf9556bfda5bb365af72414c	20	NA
004b0f451f7d96f6a572e9e76360f51a	6	996969b29078d905
004b0f451f7d96f6a572e9e76360f51a	20	NA
005093e294b0ed0f7b23f341ff68968b	6	NA
005093e294b0ed0f7b23f341ff68968b	20	NA
00547b9476397463c8220560aeeea086	6	NA
00547b9476397463c8220560aeeea086	20	NA
005522cf558f9b77ed345a289384e191	6	018b9168a80341b0
005522cf558f9b77ed345a289384e191	20	180d65833e2376b9
00597fb425e994af7a9d224ef4d09fc4	6	NA
00597fb425e994af7a9d224ef4d09fc4	20	NA
0059d4b1cf79efbc6e6ed50caee0448e	6	62bb21c06269ce7b
0059d4b1cf79efbc6e6ed50caee0448e	20	680c35052edc31fe
