ID	k	max_iters	wlhash
00063d88244921d6ec46aeab6866a8e2	1	10	f207acf9245a1c85
00072cf107ae1349c8c59a15c5ce4af1	1	10	07300669d9cf4222
00076733bdbce94d7e44eca84f1425f0	1	10	60529e3f7e774c3f
000781b7a545fe723159e53127aff659	1	10	e3aaab81959785da
000a41cdca43be89ed62ea3abf2d0b64	1	10	cb4e65352eb86ef8
000e4e0db67e27083649c20a2a3f761b	1	10	97e18ab99c9ac8f5
00107d84f57e2371476a7b2cabe0b351	1	10	fac74a94e7453909
001304ba2e4e8adbd179aa3d8acb697b	1	10	c1e7dba132a04a33
001344c9b3cb1626af1c7c35155cf26a	1	10	08cf71aae7bfcf4e
0020aa0c69379226948904ad455b6c09	1	10	f6267df96b60e91b
00213e27dabcf679205144f3dde5d37e	1	10	725a3d82b6906ed7
0022f125b13bd7ccc91e793431c67a52	1	10	e8e9428a4ec01848
0025a06f00f6e467f7cf4ef9e649b2a7	1	10	b150126cdb0fbf86
00260e67c792062bc3e10e6b94522101	1	10	bec83da3d02a96eb
0026aaf8bbf2df73cb5db34a7b7a7a04	1	10	40d2a4525723e9e6
00274d0721d26f867b2573377712cac9	1	10	96f46300c7fc0bd5
00275f3018d50ba38867268739dfc44f	1	10	4d83c52ffc921992
002a0330958a14deb23dcc84b5489e8a	1	10	b041ad9f3654ce70
002bed2572e6e326815e674f288de8b4	1	10	94ab2394a261ee2a
003154fc91d34d29ec5cf93b0bc32143	1	10	f516603de39cbacc
00316e383123773ae35d3210f5396205	1	10	97816664403306e1
0033baadbd48d3f880e9b5a733bd4950	1	10	44cbcdec84ab96eb
0035666407d4ccb5082630045d60a5fe	1	10	1fda578b3e158a24
0038cea06eae4c3234b7bb65d9a8497c	1	10	0ca81faed0b3a2bc
003a77d2aa15a5f93aa2cfe79b986c9e	1	10	10238997109004fa
003de2086be59a5fb7a7aaad0992cf47	1	10	32da9769cfa81b04
003deabca05a76f3ee449221a80d8b62	1	10	8b74ce99884fd36d
0041051c73dcdd885d412a38e8b09fba	1	10	970910c33418e399
0041f01bcd7d0d1f9541cea6da79ad57	1	10	4ffe112f83da2cf8
0042a627dfba7daa62d6ce175540c8a2	1	10	c5067dad5dc418d3
0043cfdde474fa37dfeb5ce5952d22f6	1	10	7598b22a5893af63
0049919cdf9556bfda5bb365af72414c	1	10	466de22b68672e78
004b0f451f7d96f6a572e9e76360f51a	1	10	ea93858afaf2bac8
005093e294b0ed0f7b23f341ff68968b	1	10	411712aa44aa0a82
00547b9476397463c8220560aeeea086	1	10	aba75e9c82980de8
005522cf558f9b77ed345a289384e191	1	10	7c36632b6e0e17bb
00597fb425e994af7a9d224ef4d09fc4	1	10	8cd0d61de1b9ab5e
0059d4b1cf79efbc6e6ed50caee0448e	1	10	136aabca76058849
005ccb378ced61c02105ed7ee0a62038	1	10	e26bbad81e0f0373
005d76c0f37b33d8b752f7ebdd157a99	1	10	33c589a49c1266aa
00613b57720df18bec8d8dc68dc57a7b	1	10	6962961ae46290ba
006282ac3d0013b911249d14c326f53d	1	10	018b26b428f88ad0
0062dc10471119b9e13da682216b190f	1	10	6a70f27a20cecf63
0064aa2e16c9d4b18d32a45d3073fce9	1	10	f3e827fdbe7a30e8
0067d012901f358831afb6d6e5f83767	1	10	117c58f56b166291
006be0fb3ae0a75aac0e386c2e6c4669	1	10	d5cffe448992c002
006c57c6c09a6e4a4402f1dd264cab15	1	10	8bb6dc42164ffe05
006cc1f4e081e7fd96a50a2171792f21	1	10	8ece26a5f8244493
006da0e3f4ad5b1ecd3651e66dbea36d	1	10	bcc71e33f29cbde6
006dcf7e3d0fa7c39b0f542ad0ec949e	1	10	NA
006e293dfc476b21c246b963c6eb16b7	1	10	1beb050368b6f7fe
0071b624d91ebe408b0585f8c4e34fd9	1	10	3c720cb91367ee29
0072b0ce5c4ab8386763d10ef88f636e	1	10	f169a5d537e83c67
0072b38614d34eb3c6ffc36aef13ee3a	1	10	f4e71ae4e530c2ab
00784e1e1a9ae772aae7f33c1fa5fbe2	1	10	a8c99556a0c5b8f5
00847fca81490df01b9e239fd6027378	1	10	68220422d2cf7a05
0085c7242003811caf4b7eff64022e55	1	10	8ac5a602a918420f
008d1f79eec2b7712637e48aec7a63cd	1	10	973a8418e61d28bf
008d78352c3d630340e6a3ef0d7242d7	1	10	c805e80ab438cb19
008e7716c69009090ff6bd0048dc55f8	1	10	bd9a2f85b260d920
008fa3f37db9759dee825665e78e2e80	1	10	152f965cf0b822a4
0091ac9434f528a4007d82d2443d2dc9	1	10	140c4f6e58f40040
0092f19206d4641caaa3a638914bee3f	1	10	6b2f14173625a47c
0094d44002500c187e3c2d07a13bee7c	1	10	42034e84951f77b1
009a4a6c23299b864508393ee726625a	1	10	9dd90ac0a44bdcfa
00a1604721e43896a93b5329e5b38af4	1	10	68d5ed9ab466fbb7
00a30fb1c0150fe3d6692afd2b220887	1	10	dcb61104b0a57485
00a62eb89afbf27e1addf8f5c437da9b	1	10	964917e1494f1b70
00a981f385cd209d41e1efa1f5f29bac	1	10	7b8229fda80ebd1f
00ae4072f9b57d5d3cfe8919aff1b776	1	10	4c399fc5c8df0c78
00aec3b2e38968bf8a922709e2acfccd	1	10	8556403015f7381e
00aefd1fc30c425075166ca051e57218	1	10	NA
00b1c27aee52d6dd9e112fa55d4cc1ca	1	10	aeba0d05d40c56b1
00b46ace235e3915a439c77a231a5657	1	10	4a9e72fedaf1508c
00b9b467c26540853360491401da61a5	1	10	ee3bb7227ebb7093
00bb0b4ef28ed38c49de4c54b9fabc4d	1	10	fddbca5b95be7d68
00bbdbb1bc700e4c4ceb0d6e86e33c23	1	10	7c8cd625f80d160e
00be4c67683c8edeca138279e13942cb	1	10	0d58b4d5809aeb58
00be590675417eba2bb2585790ac392d	1	10	984bdfbb0099d2e8
00c4c1dfa04e7cd8b7abc80a4a4f7153	1	10	d4c7a2fb70b2c5f4
00d0eef039aa1f9cf1cf2647a58fe313	1	10	0f800c3fa7f06d5f
00d1fe07ab948b348bb3fb423b1ef40d	1	10	566384aed5a618f5
00d239e486137a4f7264adb4fb57d5ae	1	10	b92b3320f06ab980
00d25e6106c5c09bb5d8d0f7eae7385a	1	10	eec50e5f6065dbc2
00d3338cd6cdfa099ff29f036c77d93d	1	10	11c3f0ab86fc6886
00d41fe5805aef9e2e3b63e1d9497edf	1	10	6255c02472ff0b61
00d46b1518fddf95bc8ba424e1b5b77d	1	10	4a41776245599e53
00d5f0932042a96518b03e6fd2feaf48	1	10	8620a8555ec1c1b1
00d74259dcca2176f1cd561f52bc0326	1	10	4d8ac2ad2ad97a91
00df199d465391a52fc37b87f81a957f	1	10	d0aa3f04bab7bc79
00e010712b854966aa56caf9c9dc4696	1	10	6b4871aaa04d201e
