ID	k	max_iters	wlhyphash
00063d88244921d6ec46aeab6866a8e2	1	10	9d89da2e70d34166
00072cf107ae1349c8c59a15c5ce4af1	1	10	d1bd1e541cfad647
00076733bdbce94d7e44eca84f1425f0	1	10	692fd3392daa14a0
000781b7a545fe723159e53127aff659	1	10	5858de83fb60d564
000a41cdca43be89ed62ea3abf2d0b64	1	10	9e621c2273ac7c00
000e4e0db67e27083649c20a2a3f761b	1	10	c1f687b6160ab7cc
00107d84f57e2371476a7b2cabe0b351	1	10	0aa3bb839a4b25b0
001304ba2e4e8adbd179aa3d8acb697b	1	10	6e1c0cf652a3a78c
001344c9b3cb1626af1c7c35155cf26a	1	10	b90e2f49d3803d99
0020aa0c69379226948904ad455b6c09	1	10	3b1657971da166c1
00213e27dabcf679205144f3dde5d37e	1	10	c74170d3e7a911af
0022f125b13bd7ccc91e793431c67a52	1	10	de17f302971d3eae
0025a06f00f6e467f7cf4ef9e649b2a7	1	10	0f0b080e0f4c5464
00260e67c792062bc3e10e6b94522101	1	10	93555713cbff616f
0026aaf8bbf2df73cb5db34a7b7a7a04	1	10	382bfb730edab898
00274d0721d26f867b2573377712cac9	1	10	d815f2d534bc6ad9
00275f3018d50ba38867268739dfc44f	1	10	0dca5022d1cfc8ac
002a0330958a14deb23dcc84b5489e8a	1	10	d48cfafbcd8fa1c5
002bed2572e6e326815e674f288de8b4	1	10	5026e9780d2010ee
003154fc91d34d29ec5cf93b0bc32143	1	10	6de793546d0aa5b2
00316e383123773ae35d3210f5396205	1	10	5ec2205895e0a7a2
0033baadbd48d3f880e9b5a733bd4950	1	10	53a8a158a185bbd0
0035666407d4ccb5082630045d60a5fe	1	10	2661df11f2ffe342
0038cea06eae4c3234b7bb65d9a8497c	1	10	6c5158e26617ea98
003a77d2aa15a5f93aa2cfe79b986c9e	1	10	63bfcfe73076897d
003de2086be59a5fb7a7aaad0992cf47	1	10	eb63880d3f7d7515
003deabca05a76f3ee449221a80d8b62	1	10	6210412802100168
0041051c73dcdd885d412a38e8b09fba	1	10	3cb0cb960dcb0d10
0041f01bcd7d0d1f9541cea6da79ad57	1	10	ef2b2f2ce7c72313
0042a627dfba7daa62d6ce175540c8a2	1	10	05d03350160e5213
0043cfdde474fa37dfeb5ce5952d22f6	1	10	d431e83f603c8dcf
0049919cdf9556bfda5bb365af72414c	1	10	75d4e09fd40dfb89
004b0f451f7d96f6a572e9e76360f51a	1	10	da9b34e420c4c400
005093e294b0ed0f7b23f341ff68968b	1	10	b42e2f133dc3da0c
00547b9476397463c8220560aeeea086	1	10	d916394631dfa99d
005522cf558f9b77ed345a289384e191	1	10	3cba61bbea014ebf
00597fb425e994af7a9d224ef4d09fc4	1	10	ded2ed1862199ee2
0059d4b1cf79efbc6e6ed50caee0448e	1	10	869c4c0a824e953b
005ccb378ced61c02105ed7ee0a62038	1	10	88a0434dd9681827
005d76c0f37b33d8b752f7ebdd157a99	1	10	07d3ab0b1835ef61
00613b57720df18bec8d8dc68dc57a7b	1	10	07a1cca7dddadf93
006282ac3d0013b911249d14c326f53d	1	10	7e79b5c55fccd4ba
0062dc10471119b9e13da682216b190f	1	10	56166b87d5560ad6
0064aa2e16c9d4b18d32a45d3073fce9	1	10	efb6b8bb19903d17
0067d012901f358831afb6d6e5f83767	1	10	a1fda584ccf18c16
006be0fb3ae0a75aac0e386c2e6c4669	1	10	f7df5cf41fd236eb
006c57c6c09a6e4a4402f1dd264cab15	1	10	d8cef45a780c42a6
006cc1f4e081e7fd96a50a2171792f21	1	10	359e176f939f219f
006da0e3f4ad5b1ecd3651e66dbea36d	1	10	f0685d7bb5238864
006dcf7e3d0fa7c39b0f542ad0ec949e	1	10	NA
006e293dfc476b21c246b963c6eb16b7	1	10	25e691b383d6c1b4
0071b624d91ebe408b0585f8c4e34fd9	1	10	ee6a3f2cd719267d
0072b0ce5c4ab8386763d10ef88f636e	1	10	f3ab3e3a0060ea77
0072b38614d34eb3c6ffc36aef13ee3a	1	10	751e9df2a3179d39
00784e1e1a9ae772aae7f33c1fa5fbe2	1	10	998383920c60b7c1
00847fca81490df01b9e239fd6027378	1	10	31ff608632a916b8
0085c7242003811caf4b7eff64022e55	1	10	d8221075eaf928f3
008d1f79eec2b7712637e48aec7a63cd	1	10	d5f63868df583919
008d78352c3d630340e6a3ef0d7242d7	1	10	9c3b212d64ffe525
008e7716c69009090ff6bd0048dc55f8	1	10	3fe9cbe1d0a22d7e
008fa3f37db9759dee825665e78e2e80	1	10	0e3862b186bdd1fe
0091ac9434f528a4007d82d2443d2dc9	1	10	1b851a5f890f6693
0092f19206d4641caaa3a638914bee3f	1	10	33c573d2574470ef
0094d44002500c187e3c2d07a13bee7c	1	10	9e3f04d6e3209f5a
009a4a6c23299b864508393ee726625a	1	10	8d85b1d38551b9ed
00a1604721e43896a93b5329e5b38af4	1	10	d592d493fbfeb4de
00a30fb1c0150fe3d6692afd2b220887	1	10	0ca2c5343e042a37
00a62eb89afbf27e1addf8f5c437da9b	1	10	52e38304b110f611
00a981f385cd209d41e1efa1f5f29bac	1	10	b1a6b4e00ec0af84
00ae4072f9b57d5d3cfe8919aff1b776	1	10	9140a143899556bf
00aec3b2e38968bf8a922709e2acfccd	1	10	506e829d5167a566
