ID	max_iters	hash
00063d88244921d6ec46aeab6866a8e2	6	0c03828ef4c69e47
00063d88244921d6ec46aeab6866a8e2	20	72c161d9ad5752e2
00072cf107ae1349c8c59a15c5ce4af1	6	9e072dca530d7a40
00072cf107ae1349c8c59a15c5ce4af1	20	9e072dca530d7a40
00076733bdbce94d7e44eca84f1425f0	6	845c778944ce7648
00076733bdbce94d7e44eca84f1425f0	20	5dac3f1f46833edc
000781b7a545fe723159e53127aff659	6	4654b0423c761d9e
000781b7a545fe723159e53127aff659	20	251c8cc91e2268da
000a41cdca43be89ed62ea3abf2d0b64	6	aabef4ec852b6321
000a41cdca43be89ed62ea3abf2d0b64	20	8817ec1923525b06
000e4e0db67e27083649c20a2a3f761b	6	94844a435ed1faea
000e4e0db67e27083649c20a2a3f761b	20	94844a435ed1faea
00107d84f57e2371476a7b2cabe0b351	6	6399616f068f06ac
00107d84f57e2371476a7b2cabe0b351	20	b761465e4d10eef3
001304ba2e4e8adbd179aa3d8acb697b	6	6d9a2b4a9b19dc5e
001304ba2e4e8adbd179aa3d8acb697b	20	6d9a2b4a9b19dc5e
001344c9b3cb1626af1c7c35155cf26a	6	0b67369fcf2d2a13
001344c9b3cb1626af1c7c35155cf26a	20	24b3d56f24449b3c
0020aa0c69379226948904ad455b6c09	6	1dc57ba8b2339b4f
0020aa0c69379226948904ad455b6c09	20	1dc57ba8b2339b4f
00213e27dabcf679205144f3dde5d37e	6	75d0e0dec90793fd
00213e27dabcf679205144f3dde5d37e	20	75d0e0dec90793fd
0022f125b13bd7ccc91e793431c67a52	6	5a672b91e12fa661
0022f125b13bd7ccc91e793431c67a52	20	0199b25a47d2b690
0025a06f00f6e467f7cf4ef9e649b2a7	6	81d5c938fade4f84
0025a06f00f6e467f7cf4ef9e649b2a7	20	814c3d1c61d5c8ea
00260e67c792062bc3e10e6b94522101	6	e03063db664ac75c
00260e67c792062bc3e10e6b94522101	20	2aae7202504ea086
0026aaf8bbf2df73cb5db34a7b7a7a04	6	0ccc0d8d41f21173
0026aaf8bbf2df73cb5db34a7b7a7a04	20	74b328f322af6e28
00274d0721d26f867b2573377712cac9	6	3d65f3cfa23d34c8
00274d0721d26f867b2573377712cac9	20	392597cc7b19ee73
00275f3018d50ba38867268739dfc44f	6	7d70a2e3d8c2ae0a
00275f3018d50ba38867268739dfc44f	20	7d70a2e3d8c2ae0a
002a0330958a14deb23dcc84b5489e8a	6	eca299914bb969f1
002a0330958a14deb23dcc84b5489e8a	20	6ad58dd835dfd6e3
002bed2572e6e326815e674f288de8b4	6	dec33f3b70bbf820
002bed2572e6e326815e674f288de8b4	20	1b235a796fe28868
003154fc91d34d29ec5cf93b0bc32143	6	a1ddf2ee799ba4d3
003154fc91d34d29ec5cf93b0bc32143	20	a728f66304abf876
00316e383123773ae35d3210f5396205	6	481daf60799368ae
00316e383123773ae35d3210f5396205	20	481daf60799368ae
0033baadbd48d3f880e9b5a733bd4950	6	29865d9ee527fa44
0033baadbd48d3f880e9b5a733bd4950	20	29865d9ee527fa44
0035666407d4ccb5082630045d60a5fe	6	dff16a564dc8782d
0035666407d4ccb5082630045d60a5fe	20	dff16a564dc8782d
0038cea06eae4c3234b7bb65d9a8497c	6	86fe91bc55cad0c4
0038cea06eae4c3234b7bb65d9a8497c	20	86fe91bc55cad0c4
