ID	max_iters	hash
00063d88244921d6ec46aeab6866a8e2	0	a057271c9071c99d
00063d88244921d6ec46aeab6866a8e2	2	46ae9d7d96da20fd
00063d88244921d6ec46aeab6866a8e2	4	83bdb7d75795530d
00063d88244921d6ec46aeab6866a8e2	6	cfd58461e073e63d
00063d88244921d6ec46aeab6866a8e2	10	634b827082df8bcc
00063d88244921d6ec46aeab6866a8e2	20	055e6b36e808b5d4
00072cf107ae1349c8c59a15c5ce4af1	0	a057271c9071c99d
00072cf107ae1349c8c59a15c5ce4af1	2	3b37aa8d962770f2
00072cf107ae1349c8c59a15c5ce4af1	4	c7d94d866f5fded7
00072cf107ae1349c8c59a15c5ce4af1	6	080e63f7b2801e7a
00072cf107ae1349c8c59a15c5ce4af1	10	d557291cd452dbef
00072cf107ae1349c8c59a15c5ce4af1	20	d557291cd452dbef
00076733bdbce94d7e44eca84f1425f0	0	a057271c9071c99d
00076733bdbce94d7e44eca84f1425f0	2	da9af31da9efd39e
00076733bdbce94d7e44eca84f1425f0	4	f3b612d2b47c69fb
00076733bdbce94d7e44eca84f1425f0	6	0c06e1e934003952
00076733bdbce94d7e44eca84f1425f0	10	db04dea7a7a28976
00076733bdbce94d7e44eca84f1425f0	20	deef5778e07ca28f
000781b7a545fe723159e53127aff659	0	a057271c9071c99d
000781b7a545fe723159e53127aff659	2	6d17d194572bd20b
000781b7a545fe723159e53127aff659	4	e4fc15133ef20fae
000781b7a545fe723159e53127aff659	6	bc5c71c53dbaa6b9
000781b7a545fe723159e53127aff659	10	bf2126dcd99bb3df
000781b7a545fe723159e53127aff659	20	3b24071258dedddd
000a41cdca43be89ed62ea3abf2d0b64	0	a057271c9071c99d
000a41cdca43be89ed62ea3abf2d0b64	2	1b35848313572f83
000a41cdca43be89ed62ea3abf2d0b64	4	80c6a34029abfd32
000a41cdca43be89ed62ea3abf2d0b64	6	36071089d3b02091
000a41cdca43be89ed62ea3abf2d0b64	10	ccee2ac8d2a110ce
000a41cdca43be89ed62ea3abf2d0b64	20	8ac977cdc5586e82
000e4e0db67e27083649c20a2a3f761b	0	a057271c9071c99d
000e4e0db67e27083649c20a2a3f761b	2	27eb3ae63e41bec9
000e4e0db67e27083649c20a2a3f761b	4	067c7dbcf25b360c
000e4e0db67e27083649c20a2a3f761b	6	32be0982c6a894ce
000e4e0db67e27083649c20a2a3f761b	10	046c94f651437ad9
000e4e0db67e27083649c20a2a3f761b	20	7efd62fe67d975cf
00107d84f57e2371476a7b2cabe0b351	0	a057271c9071c99d
00107d84f57e2371476a7b2cabe0b351	2	61a64536a1a3c5bb
00107d84f57e2371476a7b2cabe0b351	4	8d156b957efa66fb
00107d84f57e2371476a7b2cabe0b351	6	762f6a6333b458e2
00107d84f57e2371476a7b2cabe0b351	10	2f48a346734910f2
00107d84f57e2371476a7b2cabe0b351	20	b1427173f0a733fe
001304ba2e4e8adbd179aa3d8acb697b	0	a057271c9071c99d
001304ba2e4e8adbd179aa3d8acb697b	2	99951717acef5ba5
001304ba2e4e8adbd179aa3d8acb697b	4	c697cae6854db6be
001304ba2e4e8adbd179aa3d8acb697b	6	44242d917afd2737
001304ba2e4e8adbd179aa3d8acb697b	10	ad428fae74e18cca
001304ba2e4e8adbd179aa3d8acb697b	20	192fa41e2a49afca
001344c9b3cb1626af1c7c35155cf26a	0	a057271c9071c99d
001344c9b3cb1626af1c7c35155cf26a	2	d0aa091d9308b042
001344c9b3cb1626af1c7c35155cf26a	4	f062d12a69afa72e
001344c9b3cb1626af1c7c35155cf26a	6	4c80dfda5645ff83
001344c9b3cb1626af1c7c35155cf26a	10	eb320423f42e857d
001344c9b3cb1626af1c7c35155cf26a	20	bf0b0899ed5db0bc
0020aa0c69379226948904ad455b6c09	0	a057271c9071c99d
0020aa0c69379226948904ad455b6c09	2	cb8dd1244b7a5cbe
0020aa0c69379226948904ad455b6c09	4	2dd153164d3d4e78
0020aa0c69379226948904ad455b6c09	6	2dd153164d3d4e78
0020aa0c69379226948904ad455b6c09	10	2dd153164d3d4e78
0020aa0c69379226948904ad455b6c09	20	2dd153164d3d4e78
00213e27dabcf679205144f3dde5d37e	0	a057271c9071c99d
00213e27dabcf679205144f3dde5d37e	2	2e5eca87907ac335
00213e27dabcf679205144f3dde5d37e	4	afbbcd859d2c8295
00213e27dabcf679205144f3dde5d37e	6	5dda4a38b7623f87
00213e27dabcf679205144f3dde5d37e	10	6747ff0d763da364
00213e27dabcf679205144f3dde5d37e	20	6747ff0d763da364
0022f125b13bd7ccc91e793431c67a52	0	a057271c9071c99d
0022f125b13bd7ccc91e793431c67a52	2	57f8b01ec9fb3c61
0022f125b13bd7ccc91e793431c67a52	4	822b0510251779d4
0022f125b13bd7ccc91e793431c67a52	6	55152c85ab5adc30
0022f125b13bd7ccc91e793431c67a52	10	e68a98e66c481e5b
0022f125b13bd7ccc91e793431c67a52	20	b978d600773507d1
0025a06f00f6e467f7cf4ef9e649b2a7	0	a057271c9071c99d
0025a06f00f6e467f7cf4ef9e649b2a7	2	dd9c00f6d0b36d42
0025a06f00f6e467f7cf4ef9e649b2a7	4	fad4fa37a4351775
0025a06f00f6e467f7cf4ef9e649b2a7	6	16df396f00c8e0e1
0025a06f00f6e467f7cf4ef9e649b2a7	10	4a4449e13a6e9fca
